gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2022-03-16,0,1.0,0.51795856609,0.120156696398,0.049792743807,0.014219710387,0.004674135765,0.001335708922,1,1,30,Southern California,83.02,Midwest,7,88
mens,2022-03-16,0,1.0,0.42069755301,0.113026145738,0.043222889905,0.012740842309,0.003136195892,0.001072193319,1,1,269,Marquette,81.9,East,9,38
mens,2022-03-16,0,1.0,0.482523003626,0.087836900883,0.029016557215,0.010173358761,0.003564173594,0.001054966089,1,1,2550,Seton Hall,82.61,South,8,100
mens,2022-03-16,0,1.0,0.482763608159,0.049709728471,0.025169858906,0.010905644471,0.003320686453,0.001039546643,1,1,68,Boise State,82.49,West,8,4
mens,2022-03-16,0,1.0,0.445588179952,0.086936441001,0.032167760806,0.012385349933,0.00382776927,0.001031374917,1,1,156,Creighton,81.49,Midwest,9,70
mens,2022-03-16,0,1.0,0.580126824317,0.109517412266,0.031927608202,0.011894554701,0.002926574705,0.001000158687,1,1,93,Murray State,81.35,East,7,56
mens,2022-03-16,0,1.0,0.485842378928,0.137707773934,0.043843435178,0.007149507367,0.002499051171,0.00088628817,1,1,2166,Davidson,81.83,West,10,26
mens,2022-03-16,1,1.0,0.36748864473,0.105697197218,0.039063825045,0.006972572311,0.002466496137,0.000884235275,1,1,87,Notre Dame,82.1,West,11,19
mens,2022-03-16,0,1.0,0.231951702737,0.084512017972,0.023386499505,0.008000799697,0.002874432158,0.0008722872,1,1,5,Alabama-Birmingham,81.17,South,12,106
mens,2022-03-16,0,1.0,0.48204143391,0.107425721751,0.039004840576,0.009690227708,0.003029501189,0.000825290131,1,1,2390,Miami (FL),81.13,Midwest,10,90
mens,2022-03-16,0,1.0,0.328991486324,0.129201837025,0.042328604728,0.011741995681,0.003304837764,0.000814627223,1,1,66,Iowa State,80.57,Midwest,11,82
mens,2022-03-16,0,1.0,0.310088601529,0.080358054047,0.027073332689,0.008197593326,0.002685661522,0.000743949897,1,1,36,Colorado State,81.65,South,6,112
mens,2022-03-16,0,1.0,0.419873175683,0.065411014392,0.017317999198,0.005963341328,0.001342094972,0.000425766843,1,1,2539,San Francisco,81.78,East,10,58
mens,2022-03-16,0,1.0,0.183655741312,0.087109055592,0.019585996621,0.006312305015,0.001686613717,0.000395701286,1,1,257,Richmond,79.91,Midwest,12,74
